Sample_Name,Pig,Diet,Time_Point,Diet_By_Time_Point,Acidobacteria,Actinobacteria,Apicomplexa,Aquificae,Ascomycota,Bacillariophyta,Bacteroidetes,Basidiomycota,Candidatus Poribacteria,Chlamydiae,Chlorobi,Chloroflexi,Chlorophyta,Chrysiogenetes,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Dictyoglomi,Elusimicrobia,Euryarchaeota,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Hemichordata,Korarchaeota,Lentisphaerae,Microsporidia,Nanoarchaeota,Nematoda,Nitrospirae,Placozoa,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thaumarchaeota,Thermotogae,Verrucomicrobia,unclassified (derived from Bacteria),unclassified (derived from Eukaryota),unclassified (derived from Viruses),unclassified (derived from other sequences)
ShotgunWGS-ControlPig9GutMicrobiome-Day14,9,Control,Day 14,Control Day 14,6.513707588893281e-4,0.04291540783614983,4.513710082655757e-5,4.1022392740158677e-4,3.5561052916392873e-4,2.718201099499876e-5,0.32677939304315085,5.660840821894237e-5,8.229416172797789e-6,1.3765568870861757e-4,0.0010970061134587114,0.0017695738533991853,9.12717066437573e-5,7.157098307857472e-5,1.6758083842788226e-4,0.0022710694874445293,3.945132237989728e-4,6.466326101837778e-4,2.7356574368361136e-4,1.8054840330623028e-4,0.0032937614791004,0.0012024922662191193,0.579342419772544,0.0036062299174190555,4.887774454146566e-5,2.7431387242659297e-6,1.1471307392384798e-5,1.7780526458196437e-4,1.2718188630687494e-5,1.2468812383026955e-6,2.7930139737980378e-5,1.518701348252683e-4,1.2967564878348032e-5,3.102240520897106e-4,0.02557752421755085,0.0028715674918111077,0.0010408964577350902,6.039892718338256e-4,1.620945609793504e-5,0.0011877790676071477,8.017446362286331e-4,3.246878744540219e-4,3.1072280458503167e-4,6.995003746878121e-4,1.1970059887705876e-5
ShotgunWGS-ControlPig10GutMicrobiome-Day14,10,Control,Day 14,Control Day 14,6.824734678854058e-4,0.0391978125063902,7.98775126270372e-5,4.907674375805166e-4,4.099313948019549e-4,3.259002515183118e-5,0.38304909719240127,7.923849252602089e-5,9.265791464736315e-6,3.175929902050999e-4,0.0013901882297609554,0.0021634025519906754,1.1470410813242541e-4,7.923849252602089e-5,2.0927908308283744e-4,0.002461505429114778,3.898022616199415e-4,6.911002392491258e-4,3.22066130912214e-4,2.4474469868924196e-4,0.004296451649183077,0.0014448244483978487,0.5129836104124491,0.004257471423021082,6.038739954604012e-5,8.307261313211868e-6,2.2685213586078562e-5,2.61998241416682e-4,4.441189702063268e-5,9.585301515244464e-7,5.23996482833364e-5,1.7285493732490848e-4,1.0224321616260761e-5,4.0322168374128375e-4,0.03336643457456598,0.003372109073063002,0.0014911534057215304,7.818410935934401e-4,1.7573052777948183e-5,0.0014643145614788458,9.86008015868147e-4,3.75743819397583e-4,4.591359425802098e-4,0.0012438526266282232,6.390201010162975e-6
ShotgunWGS-TomatoPig19GutMicrobiome-Day7,19,Tomato,Day 7,Tomato Day 7,7.217305111242509e-4,0.0517911166230428,1.1123919804483866e-4,5.124948767065782e-4,4.277412020057487e-4,3.840400884881335e-5,0.3309015208649642,9.799643637283407e-5,1.5229175922805294e-5,1.75466592154061e-4,0.0013553966571296712,0.0019857521127170904,1.0461781720883636e-4,6.35652560256221e-5,2.1453273908647458e-4,0.0027008612430053387,4.019178167453397e-4,7.36297548963456e-4,3.125291754593086e-4,2.4631536709928564e-4,0.004469432064301553,0.0014229347416568946,0.5539288294259461,0.00448730979255876,5.098463243721772e-5,4.6349665852016115e-6,1.2580623588404373e-5,3.2378552288051253e-4,1.7877728257206213e-5,1.3242761672004603e-6,6.886236069442393e-5,1.6950734940165892e-4,1.4567037839205064e-5,4.303897543401496e-4,0.031058248949352395,0.0039820984347717844,0.00132361402911686,9.75329397143139e-4,1.6553452090005754e-5,0.0014427988841649016,8.991835175291126e-4,8.236997759986863e-4,4.899821818641703e-4,6.6147594551663e-4,7.945657003202762e-6
ShotgunWGS-ControlPig5GutMicrobiome-Day14,5,Control,Day 14,Control Day 14,7.302660712092127e-4,0.07157583716883464,7.21317396738398e-5,4.6451755662138186e-4,4.032326950939841e-4,2.9828914902715707e-5,0.3026555598250073,7.538580311777242e-5,7.321642748848401e-6,1.6405903196493638e-4,0.0013482669536027498,0.0022176442370400824,9.97912789472671e-5,7.26740835811619e-5,2.3537725577779304e-4,0.002394177178873427,3.742172960522516e-4,7.324354468385011e-4,3.1916938945905805e-4,2.2914030084358883e-4,0.004285601555659263,0.003863657995762667,0.5623881246208677,0.004339564774437813,5.5590250500515636e-5,4.881095165898934e-6,2.738836731976624e-5,3.305586115128222e-4,2.169375629288415e-5,1.8982036756273632e-6,4.3658684539429353e-5,1.442634793476796e-4,1.1660394007425231e-5,4.1706246473069777e-4,0.029961789160009623,0.0035469291538865583,0.001532121538184943,9.30390973011069e-4,2.2507272153867306e-5,0.0014404654178475076,9.011044020156753e-4,4.658734163896871e-4,5.098032728827775e-4,5.412592195074595e-4,1.0846878146442075e-5
ShotgunWGS-ControlPig2GutMicrobiome-Day7,2,Control,Day 7,Control Day 7,0.0011248375645753787,0.0332820359165239,1.914197259014241e-4,7.791637983856936e-4,6.643777428193757e-4,7.334467160827763e-5,0.27250998951138306,1.082080581126607e-4,1.2498195161948652e-5,3.4929166478919657e-4,0.0022009979479936945,0.0036231609974743777,1.8517062832044978e-4,1.4800494270728666e-4,3.6639445816870526e-4,0.003814580723375802,6.670089418008387e-4,0.0013590142739255745,4.8775851118868034e-4,5.463026885262292e-4,0.007517335490039432,0.0017326445292933027,0.5845662419144078,0.006521097775683051,1.1314155620290359e-4,1.1182595671217215e-5,2.762758930536018e-5,0.0013211907885670457,4.0125784467308833e-5,2.631198981462874e-6,6.775337377266901e-5,2.7660479292628465e-4,1.808949299755726e-5,0.0010672800868558783,0.05431189377586592,0.008740514116546985,0.0030025269377218222,0.0012317300231973081,3.3876686886334506e-5,0.002652248573314577,0.0016112804762733277,7.574564067886249e-4,7.732436006774022e-4,0.0010863562794714843,1.907619261560584e-5
ShotgunWGS-ControlPig6GutMicrobiome-Day7,6,Control,Day 7,Control Day 7,6.74352335705739e-4,0.04848368103864867,3.499572139267147e-5,4.2086158857447515e-4,2.976157871481104e-4,1.825863724835033e-5,0.46860062152401194,6.086212416116777e-5,9.129318624175165e-6,1.2902770322167567e-4,0.0012494994090287744,0.0016146721539957811,6.846988968131374e-5,8.06423145135473e-5,1.1959407397669468e-4,0.0026420248098362933,3.508701457891322e-4,5.739298308398121e-4,2.498390196815937e-4,1.573285909566187e-4,0.0030166311840482806,0.0013404882846497202,0.4298968752168213,0.00346792383470334,6.238367726519697e-5,3.0431062080583887e-6,1.1868114211427715e-5,1.8076050875866827e-4,1.2172424832233555e-5,1.2172424832233554e-6,4.2299176292011604e-5,1.6584928833918218e-4,1.2172424832233555e-5,4.8263664459806047e-4,0.027971927953851904,0.0025087367579233358,9.737939865786843e-4,7.766007042965008e-4,1.4606909798680265e-5,0.0012135907557736855,9.747069184411019e-4,3.4508824399382125e-4,3.453925546146271e-4,3.374804784736753e-4,5.173280553699261e-6
ShotgunWGS-TomatoPig12GutMicrobiome-Day0,12,Tomato,Day 0,Tomato Day 0,7.758249195253369e-4,0.028272780909356462,7.989622889799601e-5,4.573245681265383e-4,4.699778170470354e-4,2.56680192387227e-5,0.35860753526279715,5.856646643201518e-5,5.061299568198843e-6,1.5147746564823678e-4,0.0011691602002539326,0.001928355135483759,1.2617096780724257e-4,5.9289509227472155e-5,1.3014770318225594e-4,0.002801429310998059,3.3476881429658057e-4,6.539922084908362e-4,2.72948655285009e-4,1.8076069886424439e-4,0.003218263482579007,0.0016102163054826889,0.5389264549790173,0.004195455820639112,6.905058696614135e-5,4.338256772741865e-6,1.4822377306868039e-5,2.4836520023947177e-4,1.2653248920497107e-5,7.230427954569775e-7,7.808862190935357e-5,1.5003138005732284e-4,9.399556340940707e-6,4.464789261946836e-4,0.045615323879789796,0.0031987413271016684,0.0011232469827424146,6.323009246271268e-4,1.5545420102325016e-5,0.0012454412151746439,0.0011246930683333285,3.2645382214882535e-4,4.378024126491999e-4,7.002669474000827e-4,3.3983011386477945e-5
ShotgunWGS-TomatoPig14GutMicrobiome-Day0,14,Tomato,Day 0,Tomato Day 0,7.908904973210206e-4,0.0836020956437276,3.1549183772915026e-4,6.32064126957373e-4,5.218580740519849e-4,4.105715696475243e-5,0.3128663405864042,1.1884966489796756e-4,1.1884966489796757e-5,2.506647477848043e-4,0.0017103547230316605,0.0029571957529612473,2.7227377776625295e-4,1.0264289241188107e-4,2.268948148052108e-4,0.0029744829769464062,5.186167195547675e-4,0.00085355668426722155,3.5546854319483027e-4,3.1549183772915026e-4,0.005185086744048603,0.0019145600563563502,0.5076112405852158,0.00538821162587422,6.0505283948056214e-5,1.0804514990724324e-5,2.0528578482376216e-5,4.916054320779567e-4,2.5930835977738376e-5,1.0804514990724323e-6,3.1225048323193296e-4,2.571474567792389e-4,1.5126320987014053e-5,7.51994243354413e-4,0.05585394024454939,0.004681596345480849,0.0019696630828090443,9.432341586902335e-4,2.3769932979593514e-5,0.0017125156260298054,0.0013300357953581643,5.326625890427092e-4,7.022934743970811e-4,7.411897283636887e-4,2.3769932979593514e-5
ShotgunWGS-ControlPig7GutMicrobiome-Day14,7,Control,Day 14,Control Day 14,6.515787071976411e-4,0.04454773730753512,1.009179142460993e-4,4.1840191154826883e-4,3.444372290573389e-4,2.068503832373464e-5,0.35813417193403857,6.86367180742104e-5,8.775470804008634e-6,2.2596837320322234e-4,0.0013169474399444387,0.0017632428122625922,9.74704078588102e-5,7.459150183407339e-5,1.6391325823201844e-4,0.0021719290239921372,3.4192995168476505e-4,6.274461624866174e-4,2.779943786841307e-4,1.864787545851835e-4,0.0033331118571654226,0.004783571817199421,0.5409808218353772,0.003835507560694917,4.638463139261707e-5,3.4475063872891068e-6,1.5043664235443375e-5,2.2189404747278976e-4,2.2565496353165063e-5,1.567048357858685e-6,5.4219873181910495e-5,1.416611715504251e-4,5.954783759863002e-6,3.745245575282257e-4,0.025601182432008904,0.0033666466920235986,0.0012147758870120525,6.619212263595085e-4,1.4730254563871638e-5,0.0012896807985176976,8.753532126998614e-4,3.804793412880887e-4,4.597719881957381e-4,7.662866469928969e-4,4.074325730432581e-6
ShotgunWGS-TomatoPig11GutMicrobiome-Day14,11,Tomato,Day 14,Tomato Day 14,7.412638157920404e-4,0.033717099915860055,2.3408331025011802e-4,5.52696704757223e-4,0.0010611776731338683,6.372267890142101e-5,0.4078316472832681,1.4435137465423944e-4,1.3004628347228779e-5,1.755624826875885e-4,0.0014448142093771174,0.0018791687961745584,1.469523003236852e-4,7.282591874448116e-5,1.8596618536537155e-4,0.0028050983344972474,4.2525134695438105e-4,6.541328058656076e-4,0.00028870274930847887,2.87402286473756e-4,0.0037765440720352373,0.001533245682138273,0.47452978515053507,0.004507404185149494,5.722036472780663e-5,1.300462834722878e-6,1.17041655125059e-5,2.8610182363903315e-4,4.1614810711132095e-5,2.600925669445756e-6,1.651587800098055e-4,1.4825276315840808e-4,3.381203370279482e-5,4.5126060364883864e-4,0.04986364647177931,0.003864975544796393,0.001534546144972996,9.05122132967123e-4,1.17041655125059e-5,0.0014604197633937919,0.0010871869298283258,7.828786265031725e-4,0.0013043642232270466,8.999202816282315e-4,7.802777008337267e-6
ShotgunWGS-TomatoPig20GutMicrobiome-Day0,20,Tomato,Day 0,Tomato Day 0,0.0010163211640659754,0.033750331990024265,1.7062026014861642e-4,6.306782628144038e-4,6.923482363620965e-4,7.523736772818507e-5,0.35886374307137847,1.2046201499649303e-4,1.6034193122400097e-5,2.80803946220494e-4,0.0017016801367593334,0.0027603480159947244,1.9487711641070886e-4,1.2087314815347765e-4,2.80803946220494e-4,0.003913576521336577,5.566742945571725e-4,8.876364859297899e-4,4.218226190662179e-4,3.3219559084357125e-4,0.0059774649693993594,0.0033379901015581125,0.4997352302469019,0.0052448256836527705,9.003816137963132e-5,1.3156261023507771e-5,2.6312522047015542e-5,6.384897927971115e-4,3.0423853616861722e-5,3.7001984128615607e-6,9.168269400756979e-5,2.0926677690517048e-4,2.466798941907707e-5,8.107545855736664e-4,0.06242686968970136,0.005316773986125079,0.0020531989859811817,9.505398589484365e-4,1.8500992064307805e-5,0.0019347926367696117,0.0018155640212440725,5.1103851413188e-4,9.410837963377903e-4,9.456062610646211e-4,5.8792041448800354e-5
ShotgunWGS-ControlPig9GutMicrobiome-Day0,9,Control,Day 0,Control Day 0,7.698380609470302e-4,0.042346841987264856,2.0695086641513193e-4,5.197724306954124e-4,5.54264241764601e-4,5.173771660378298e-5,0.34283327233392674,8.766668646752117e-5,7.185793972747637e-6,0.002755033409151444,0.0013197908263279825,0.002174421256153435,1.4898546170163433e-4,7.664846904264145e-5,0.00022898730126489137,0.00265682755819056,3.9138624504898796e-4,7.204956090008297e-4,3.377323167191389e-4,2.89827023567488e-4,0.004573039284256596,0.0015578801332916876,0.5423434886167442,0.0049150830773593834,5.7965404713497603e-05,8.622952767297164e-6,2.6826964164924512e-5,2.821621766632239e-4,2.9222228822507057e-5,9.581058630330182e-7,9.916395682391739e-5,1.8108200811324044e-4,1.58087467400448e-5,4.412077499267049e-4,0.03452869814491543,0.004802505638453004,0.0016158455380051852,0.001022778008787747,1.724590553459433e-5,0.001659918407704704,9.95471991691306e-4,5.427669714082048e-4,8.963080348673886e-4,8.766668646752117e-4,3.0180334685540074e-5
ShotgunWGS-TomatoPig11GutMicrobiome-Day7,11,Tomato,Day 7,Tomato Day 7,7.452144099805118e-4,0.046779628304208315,2.5734022790693936e-4,4.020941061045927e-4,8.202719764533691e-4,4.557066535852051e-5,0.42208622506011306,1.8228266143408204e-4,8.041882122091855e-6,1.4475387819765337e-4,0.0013671199607556152,0.001796020340600514,1.2330885920540843e-4,7.237693909882668e-5,1.9568579830423513e-4,0.0024527740472380156,3.672459502421947e-4,6.513924518894402e-4,2.7610461952515367e-4,2.0372768042632697e-4,0.004339935718555571,0.001544041367441636,0.4650030693183433,0.004007537924175774,2.94869011143368e-5,5.361254748061237e-6,1.8764391618214327e-5,1.7960203406005142e-4,3.216752848836742e-5,0,1.340313687015309e-4,1.501151329457146e-4,1.608376424418371e-5,3.967328513565315e-4,0.035078689816564666,0.0030291089326545985,0.001369800588129646,6.916018624998994e-4,1.340313687015309e-5,0.00121432420043587,9.167745619184714e-4,9.328583261626551e-4,5.227223379359705e-4,0.001369800588129646,2.4125646366275563e-5
ShotgunWGS-TomatoPig13GutMicrobiome-Day7,13,Tomato,Day 7,Tomato Day 7,9.103706946707727e-4,0.04651580444906435,1.299347264211921e-4,8.143679668691276e-4,5.892581223687183e-4,5.7932680569958266e-5,0.21584144321893836,1.3407277503333197e-4,1.8207413893415455e-5,3.3849237647304184e-4,0.0016469433476316707,0.004076805492680206,1.4234887225761172e-4,1.3076233614362008e-4,3.302162792487621e-4,0.0038574889162367922,6.372594862695408e-4,0.001161136440566449,5.727059279201589e-4,5.189112959623404e-4,0.009188950748117809,0.0018000511462808462,0.6337661456311724,0.0069171620600530165,8.855424029979335e-5,7.4484875018517765e-6,2.8138730562551156e-5,6.413975348816808e-4,2.4000681950411282e-5,3.3104388897119007e-6,7.03468264063779e-5,2.9628428062921514e-4,1.5724584726131528e-5,8.00298601587852e-4,0.050425432777814104,0.005988583951488828,0.002709594231229191,0.0020152296741121197,2.8138730562551156e-5,0.0024248964867139675,0.0013192098975501924,0.0011925856100187123,7.547800668543134e-4,0.0010163047391415535,4.965658334567851e-5
