"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Methanothermus",-1.99130943486578,-1.93348762388171,-2.08110748223962,-0.121395399728173,0.753397310341961,-0.136384453458503,0.428114377369153,0.480199921992377,0.682958563201181,0.567195879971422,0.745777745979126
"Basfia",1.43010541028841,1.31174336532332,1.53665700487822,0.199894504735144,0.358344929002719,0.421768494863635,0.291741652509237,0.456736831084197,0.683099174622719,0.144049319101951,0.377350729608886
"Pseudovibrio",-2.3634682421706,-2.46059174856881,-2.28605762369064,0.1369838131066,0.594294048621727,0.216203383038185,0.406400000323331,0.504498146852934,0.685357316611008,0.49740470674836,0.689684408294218
"Marinobacter",0.981500089835731,0.946058124994146,1.0700346819768,0.102334156602723,0.361717544830287,0.258381894161731,0.398000000354764,0.47287814096246,0.685429854056889,0.502961376085215,0.717159383837769
"Methylobacillus",0.0164999076662076,-0.0225968560309768,0.0811986153722248,0.0896196439770218,0.352596275071983,0.234792184635335,0.398800000351743,0.492026404664427,0.686794542989437,0.481957782155925,0.685486659424728
"Alkalilimnicola",0.223133758697671,0.28245801237844,0.167616581438848,-0.0878013457313029,0.386171416539076,-0.210880102919026,0.405200000327783,0.490125532319313,0.686953818429813,0.533265539414146,0.726903320862337
"Babesia",-4.44304159117616,-4.41674651757883,-4.50493087464418,-0.0858177438707273,1.86867580832834,-0.0319271418528771,0.482903419373169,0.479554720006975,0.688068921923283,0.699952044859166,0.843137502050852
"Acetobacter",-1.71252441945997,-1.67785690902067,-1.76078996801277,-0.111455236920784,0.660680583848339,-0.150890818569801,0.428314337376443,0.490531495245239,0.688854166187256,0.567708123146204,0.749410730927515
"Postia",-5.34412082524578,-5.34973892700848,-5.32099645918716,-0.0195913420609974,2.1992809156897,-0.00716316231208958,0.496300739864356,0.487525902494498,0.689103174495042,0.682810095477278,0.829934084951338
"Candidatus Riesia",-5.32353457886454,-5.56566089847748,-5.03459586819019,0.526218946663996,1.76863128056358,0.237806935502708,0.370925815297815,0.515374855715191,0.689726127679371,0.409270713806318,0.61308744253267
"Chlamydophila",-0.693049177620455,-0.64038652203048,-0.81264760301853,-0.159460408818565,0.394501421615777,-0.324569384589619,0.356200000522556,0.500482770041721,0.69140115625463,0.348595953582022,0.568711682421606
"SP6-like viruses",-5.65857541519317,-5.61819981645488,-5.73242001789608,-0.176740392070891,2.04227437298898,-0.0672672596768303,0.463200000123335,0.498601643019221,0.692411019357617,0.608670906492888,0.776404673257305
"Verrucomicrobium",-1.23812131653598,-1.27570634023294,-1.2027767696437,0.130791849456735,1.00103444953348,0.0949584904965292,0.438512297748515,0.469179392877842,0.693125820201724,0.662263125419472,0.820567992845445
"Kordia",-0.360782125199142,-0.410610868826423,-0.286875700266477,0.146723442319742,0.667870464577996,0.219330826321381,0.408118376641584,0.478565288047366,0.693873071232877,0.537460791530451,0.740627708734524
"Ostreococcus",-1.10306223054525,-1.14818287036776,-1.04418933709252,0.0964098994619604,0.428594857151394,0.209996835061866,0.408718256663368,0.508418547405831,0.694075681472797,0.494288456125917,0.690389256602191
"Atopobium",5.53700322373263,5.91180260860872,5.42598832129114,-0.234039052230697,1.0739239320685,-0.225650178001105,0.36700000047709,0.458332061853549,0.694587154388521,0.330357162960878,0.603236372897697
"Chlorovirus",-5.08938686561132,-5.01560998538525,-5.19979712006292,-0.150656059869672,1.62003772325032,-0.0763730781002721,0.455108978355152,0.503208825456692,0.694866197836182,0.578584424863063,0.752301860916435
"Erythrobacter",0.120889002018441,0.217187685951476,-0.0691220047601897,-0.273770286435174,0.454367152470374,-0.426006628251386,0.274600000942963,0.477343022050814,0.69694249384343,0.119676319037,0.336342434500809
"Afipia",-3.80373650648635,-3.93109065131029,-3.57725644113514,0.349277703315624,1.21062767964225,0.250373971468721,0.385200000403962,0.516031372965048,0.697547931415995,0.449106789495334,0.656496734785687
"Coprothermobacter",0.403411781770335,0.4059183861874,0.393861045006836,-0.0383590197163661,0.368984557164423,-0.089294018753252,0.462507498625931,0.493546487237428,0.697715575114994,0.695388566541817,0.839262188687816
"Borrelia",0.386820200463644,0.381138804438475,0.393128101160035,-0.146149049908923,0.712009739533208,-0.194250116330237,0.423515297201565,0.476150701597484,0.698959164133296,0.604920608802962,0.795163352166215
"Nocardia",-0.0603471210237743,-0.00673838696823381,-0.17272041988999,-0.130566031126341,0.563845951623181,-0.217439412568475,0.408318336648845,0.490156263212118,0.699115265993096,0.533521260473273,0.738547087322302
"Dinoroseobacter",-1.02851148656408,-0.969272545982853,-1.16070487311227,-0.175640421752139,0.498155310907669,-0.308130842558174,0.369400000467209,0.503495056460946,0.699349150941779,0.384870943298188,0.606096267432322
"Lactobacillus",9.00445598337901,9.20634215543392,8.98545211682487,-0.373149154193349,1.57126218880217,-0.211560997744549,0.385400000403181,0.465485372588511,0.699853870443489,0.420782686353894,0.678951421428252
"Sclerotinia",-3.75143222848581,-3.79905828406074,-3.70122846488613,0.127749443487828,0.943828947013158,0.11184871108271,0.439000000206405,0.519422455946591,0.700537532027615,0.55234306869601,0.731237554686752
"Turicibacter",1.64771221796858,1.64659875869115,1.64890656245772,-0.0194275513803435,0.386013527137949,-0.0419853876226875,0.478904219226586,0.483650708031087,0.702962572554661,0.800391023836844,0.905015310755381
"Dehalogenimonas",0.224275035905619,0.303727111051142,0.155427522554052,-0.0826372402104747,0.549319160909302,-0.140680013578492,0.428314337376443,0.492461542229924,0.704095970433964,0.640639881790037,0.808850524156454
"Aromatoleum",0.644417556790845,0.624594278590799,0.676878132568188,0.0639457970859736,0.329666673955546,0.183495600960062,0.424315137230701,0.511452190941278,0.704960694557923,0.584195089739981,0.763022946669326
"Edwardsiella",0.316035557775082,0.296883512552407,0.419883775156596,0.111295073855622,0.561930037839275,0.187748060894101,0.432600000228824,0.495436401543341,0.705661318877583,0.621525146679946,0.798131210828119
"Cyanidioschyzon",-4.90680552970232,-4.99541361468442,-4.78102877688633,0.222749199789229,1.2470872478141,0.15377994025475,0.426914617325422,0.532466280527756,0.706683828739617,0.514651204832319,0.699205042381193
"Gallionella",-0.847684359552119,-0.816309138845805,-0.937307117951382,-0.109921931150923,0.44680091011378,-0.215777820016509,0.415200000291038,0.51633813568222,0.706962856746733,0.541245058347226,0.728765610311187
"Methanobrevibacter",2.96397059677216,2.96865391686616,2.9391478967866,0.0216037560704789,0.412314424304574,0.0391069658285305,0.474800000084214,0.481403584909867,0.710289070749447,0.857540269328195,0.93615121240713
"Mesoplasma",-0.293170556124598,-0.341997102216895,-0.227716202706307,0.110661285071163,0.396439571738547,0.255684996565171,0.389322135960665,0.524815786826707,0.711752254583406,0.46431624412739,0.670051740690318
"Podospora",-3.62731448037319,-3.73480623552509,-3.42624969330326,0.264161559271082,1.16677677306951,0.101656060674518,0.404200000331503,0.504116388500426,0.71254165655728,0.498128136569313,0.695194096664276
"Brevundimonas",-1.18783346945159,-1.14698707062701,-1.27752971149557,-0.113131572258519,0.48668306606244,-0.205963748152952,0.409518096692417,0.527214384574805,0.713691576304936,0.526997207127238,0.716014184938023
"Hoeflea",-3.03165570938321,-2.99855723622163,-3.12443962253902,-0.0936120488293657,1.15956351664373,-0.0516259423426385,0.467106578794341,0.503823333332218,0.71420569488171,0.66053963064799,0.817896026328415
"Tropheryma",-2.17586422940529,-2.25265209587686,-2.03723178122625,0.196963211545909,0.597067119490466,0.271178989766421,0.372800000453339,0.542161358323029,0.714281243336094,0.417727196951655,0.621582903453059
"Coprinopsis",-3.22514987564554,-3.26896784991067,-3.13851150527269,0.146985648272482,0.795926942539536,0.159496560939686,0.425714857281699,0.539882510160311,0.714403717697522,0.537187284851372,0.718797837345615
"Hahella",0.732211979181019,0.673817339722443,0.787822244184883,0.0790137914697766,0.306008377677031,0.242143543002655,0.392600000375317,0.52400147998992,0.714920307034519,0.475116131546472,0.68633325832249
"Micromonas",-2.29786414449893,-2.34544199186201,-2.22485561052388,0.117993784109363,0.589744427661057,0.182675777974633,0.415200000291038,0.54187024394264,0.715335374583317,0.516337212323281,0.702417470348146
"Paracoccidioides",-6.05824650960529,-6.0577072764028,-6.05844382863498,-0.043580080153852,2.00121332615179,-0.0171860931210249,0.490701859659066,0.534517729662926,0.715666865025113,0.597729859923358,0.765677764042245
"Halorhodospira",-0.206027493357079,-0.193357893886468,-0.232961963176809,-0.0352920350188111,0.324247646329557,-0.0951942115791575,0.457108578428317,0.530564414613331,0.717289545279165,0.611722823616013,0.780973112228158
"Sorangium",0.61669944193737,0.65908356319165,0.586735083865936,-0.0733048336133972,0.364483808116827,-0.184015351189741,0.412317536794129,0.52504637671332,0.719532704299944,0.534446892117171,0.731203377039144
